Boise State
Washington
Alabama-Birmingham
Appalachian State
Marshall
Central Florida
BYU
Hawaii
Miami (FL)
Louisiana Tech
Eastern Michigan
Pittsburgh
North Carolina
Temple
Wake Forest
Michigan State
Oklahoma State
Texas A&M
Iowa
Southern California
Air Force
Washington State
Notre Dame
Iowa State
Penn State
Memphis
LSU
Oklahoma
Ohio State
Clemson
Western Michigan
Western Kentucky
Illinois
California
Louisville
Mississippi State
Virginia
Florida
Virginia Tech
Kentucky
Florida State
Arizona State
Kansas State
Navy
Wyoming
Georgia State
Utah
Texas
Alabama
Michigan
Minnesota
Auburn
Wisconsin
Oregon
Baylor
Georgia
Boston College
Cincinnati
Indiana
Tennessee















